cod_ue_id,desc_ue,distrito,area,desc_departamento,estadoinstitucion,Latitud,Longitud,distance_border_km,rank_border,prioridad_frontera
80670050,SAN ANTONIO DE PALILLOS,APOLO,RURAL,La Paz,Abierta,-14625.0,-68.49742126464798,-865.6634102181183,1,EXTREMA
80980568,SANTA MARIA MAGDALENA POSTEL,COCHABAMBA 1,URBANO,Cochabamba,Abierta,-17414.0,-66.1653,-670.0821881235537,2,EXTREMA
70930040,ELIZARDO PEREZ,TACOPAYA,RURAL,Cochabamba,Abierta,-17884.0,-66.6157,-444.8413839252478,3,EXTREMA
81850027,SANTA ANA,PUERTO SUAREZ,RURAL,Santa Cruz,Abierta,-18827.0,-58.62520000000001,-357.1948200491692,4,EXTREMA
70700049,THUCUYA,MOCOMOCO,RURAL,La Paz,Abierta,-15375.0,-68.99895477294922,-331.30485035341826,5,EXTREMA
62480001,BOLPEBRA,MUKDEN (C. BOLPEBRA),RURAL,Pando,Abierta,-10.947500228882,-69.56477355956997,3.8500440423129674,6,EXTREMA
70550008,TOLACOLLO,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.234284515415236,-69.55578702688234,4.7008060113626415,7,EXTREMA
71720022,NARANJITOS,BERMEJO,RURAL,Tarija,Abierta,-22.85173171127181,-64.32091033458755,5.373225901221913,8,EXTREMA
71720021,CAMPO GRANDE,BERMEJO,RURAL,Tarija,Abierta,-22.805843989685545,-64.31047058105491,10.481447068204929,9,EXTREMA
70550006,PAJCHIRI,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.22853155507155,-69.49975764751417,10.658286353621698,10,EXTREMA
70550001,CATACORA,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.160560030644124,-69.4874625802043,11.969955054437797,11,EXTREMA
62480005,SAN MIGUEL,MUKDEN (C. BOLPEBRA),RURAL,Pando,Abierta,-10.955900192261,-69.47961425781199,13.157084710505561,12,EXTREMA
70550002,PARACHI,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.295799255371094,-69.46800994873047,14.028747250408273,13,EXTREMA
40710032,SICUANI TRIPARTITO,CHARAÑA,RURAL,La Paz,Abierta,-17.49444292733,-69.46586823463497,14.240905958268266,14,EXTREMA
71720023,PORCELANA,BERMEJO,RURAL,Tarija,Abierta,-22.770099639893,-64.29238891601597,14.46050808711098,15,EXTREMA
40710001,LADISLAO CABRERA,CHARAÑA,RURAL,La Paz,Abierta,-17.592699050903,-69.44800567626999,16.128645628003135,16,EXTREMA
