cod_ue_id,desc_ue,distrito,area,desc_departamento,estadoinstitucion,latitud,longitud
71850002,SANTA CRUZ,PUERTO QUIJARRO,URBANO,Santa Cruz,Abierta,-19.005100250244,-57.72005462646501
81720022,NARANJO AGRIO,PADCAYA,RURAL,Tarija,Abierta,-22.428963664867,-64.450713098049
71720020,EL TORO,BERMEJO,RURAL,Tarija,Abierta,-22.630800247192,-64.32105255126999
80550025,QUEHUANI,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.156354117849943,-69.2770444154736
71850008,EL CARMEN DE LA FRONTERA,PUERTO QUIJARRO,RURAL,Santa Cruz,Abierta,-19.10000038147,-57.816642761230014
70670013,NUBEPAMPA,PELECHUCO,RURAL,La Paz,Abierta,-14.903000203658518,-69.23067641258223
71720056,GUIDO VILLAGOMEZ SECUNDARIO,BERMEJO,URBANO,Tarija,Abierta,-22.736999511719,-64.33283996581997
80550022,IÑOCA,CHARAÑA,RURAL,La Paz,Abierta,-17.397399902344,-69.27529907226597
70670004,HUACOCHANI,PELECHUCO,RURAL,La Paz,Abierta,-15.0108003616333,-69.27833557128906
80700086,CHUALLUMA,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.399900436401367,-69.22647857666016
71850014,ADVENTISTA PUERTO QUIJARRO,PUERTO QUIJARRO,URBANO,Santa Cruz,Abierta,-19.012399673461918,-57.712684631347656
81850040,JOSEFINA GOITIA,PUERTO SUAREZ,URBANO,Santa Cruz,Abierta,-18.961200714111,-57.80053329467796
71850005,SAMUEL LOPEZ MENDOZA,PUERTO QUIJARRO,URBANO,Santa Cruz,Abierta,-19.002799987793,-57.71745681762701
81850049,COOPERATIVA EDUCACIONAL PUERTO SUAREZ,PUERTO SUAREZ,URBANO,Santa Cruz,Abierta,-18.98209221100159,-57.77154474218753
81940049,JUANCITO PINTO,SAN JOSE (C. SAN JOSE DE CHIQUITOS),RURAL,Santa Cruz,Abierta,-15.136758590754551,-69.23789978027345
82440009,RAFAEL RAMOS PAZ,NUEVO MANOA (C. NUEVA ESPERANZA)/ VILLA NUEVA/EUREKA (C.SAN),RURAL,Pando,Abierta,-9.97155571149224,-65.45379638671876
40710004,CHINOCAVI,CHARAÑA,RURAL,La Paz,Abierta,-17.71960067749,-69.33274078369101
80660051,CUIPIAMAYA,SAN ANDRES DE MACHACA,RURAL,La Paz,Abierta,-16.891700744629,-69.210502624512
81720023,NOGALITOS,PADCAYA,RURAL,Tarija,Abierta,-22.433566683358,-64.49738597869901
62480001,BOLPEBRA,MUKDEN (C. BOLPEBRA),RURAL,Pando,Abierta,-10.947500228882,-69.56477355956997
71720043,VILLA NUEVA,BERMEJO,RURAL,Tarija,Abierta,-22.606100082398,-64.354682922363
71720023,PORCELANA,BERMEJO,RURAL,Tarija,Abierta,-22.770099639893,-64.29238891601597
80700108,FRONTERIZO WILACOLLO,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.46909999847412,-69.29651641845703
71850021,LA FRONTERA,PUERTO QUIJARRO,URBANO,Santa Cruz,Abierta,-19.029100418091,-57.70926284789999
80700102,POCOCATA,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.575400352478027,-69.23866271972656
70670009,ANTAQUILLA,PELECHUCO,RURAL,La Paz,Abierta,-14.88029956817627,-69.28759002685547
80660053,ANCUAMAYA,SAN ANDRES DE MACHACA,RURAL,La Paz,Abierta,-16.978399276733,-69.22649383544899
70670024,KATANTIKA,PELECHUCO,RURAL,La Paz,Abierta,-14.808600425720217,-69.2263412475586
80700089,ORURILLO,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.538800239562988,-69.31845092773438
71720045,QUEBRADA CHICA,BERMEJO,RURAL,Tarija,Abierta,-22.669399261475,-64.31115722656199
80550024,VILLA MERCEDES,SANTIAGO DE MACHACA/CATACORA,RURAL,La Paz,Abierta,-17.249987441575257,-69.33286154270212
80700098,LAGO SAGRADO DE TANAVACAS,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.662699699401855,-69.23006439208984
81850022,JOSE ELIODORO PAZ,PUERTO SUAREZ,URBANO,Santa Cruz,Abierta,-18.96109962463379,-57.7964096069336
81720017,LA GOMA,PADCAYA,RURAL,Tarija,Abierta,-22.51655002786,-64.44129467010498
71720026,BOLIVIA,BERMEJO,URBANO,Tarija,Abierta,-22.732999801636,-64.33908843994101
80700104,QUILUMBLAYA,PUERTO ACOSTA,RURAL,La Paz,Abierta,-15.589805670001557,-69.23546957969666
80660052,ACHAMACATA,SAN ANDRES DE MACHACA,RURAL,La Paz,Abierta,-16.950099945068,-69.29573822021501
62480019,NUEVA CANAAN,MUKDEN (C. BOLPEBRA),RURAL,Pando,Abierta,-11.134599685669,-69.21532440185501
